gene,rep,temp,sex,indv,trait,length,code
35010,1,28,M,01,ForFemurLength,7.76819756045053,dysf
35010,1,28,M,02,ForFemurLength,7.79651988628195,dysf
35010,1,28,M,03,ForFemurLength,7.84859164518664,dysf
35010,1,28,M,04,ForFemurLength,7.89013049087751,dysf
35010,1,28,M,05,ForFemurLength,7.8500180183816,dysf
35010,1,28,M,06,ForFemurLength,7.84008551556895,dysf
35010,1,28,M,07,ForFemurLength,7.74820626994603,dysf
35010,1,28,M,08,ForFemurLength,7.77804426594828,dysf
35010,1,28,M,09,ForFemurLength,7.6653501308594,dysf
35010,1,28,M,10,ForFemurLength,7.84655599686918,dysf
35010,1,28,M,01,MidFemurLength,7.96662657264181,dysf
35010,1,28,M,02,MidFemurLength,7.75401895208599,dysf
35010,1,28,M,03,MidFemurLength,7.99463063398,dysf
35010,1,28,M,04,MidFemurLength,7.96742225603685,dysf
35010,1,28,M,05,MidFemurLength,7.98185265328974,dysf
35010,1,28,M,06,MidFemurLength,7.97210672733845,dysf
35010,1,28,M,07,MidFemurLength,8.02042441520043,dysf
35010,1,28,M,08,MidFemurLength,7.96004828297139,dysf
35010,1,28,M,09,MidFemurLength,7.98921849876519,dysf
35010xSAM,2,28,F,01,ForFemurLength,7.88590986420803,control
35010xSAM,2,28,F,02,ForFemurLength,7.93905022710671,control
35010xSAM,2,28,F,03,ForFemurLength,7.9456311112054,control
35010xSAM,2,28,F,04,ForFemurLength,7.90729329176704,control
35010xSAM,2,28,F,05,ForFemurLength,7.95462091216421,control
35010xSAM,2,28,F,01,MidFemurLength,8.12463831417871,control
35010xSAM,2,28,F,02,MidFemurLength,8.16645435458961,control
35010xSAM,2,28,F,03,MidFemurLength,7.93735616343903,control
35010xSAM,2,28,F,04,MidFemurLength,8.17955085918808,control
35010xSAM,2,28,F,05,MidFemurLength,8.23029909759219,control
57582,2,28,F,11,ForFemurLength,7.90128325815222,otp
57582,2,28,F,12,ForFemurLength,7.85488084709444,otp
