"pro_F_for_early_1ReadsPerGene.out.tab" "pro_F_for_early_2ReadsPerGene.out.tab" "pro_F_for_early_3ReadsPerGene.out.tab" "pro_F_for_early_4ReadsPerGene.out.tab" "pro_F_for_early_5ReadsPerGene.out.tab" "pro_F_for_late_1ReadsPerGene.out.tab" "pro_F_for_late_2ReadsPerGene.out.tab" "pro_F_for_late_3ReadsPerGene.out.tab" "pro_F_for_late_4ReadsPerGene.out.tab" "pro_F_for_late_5ReadsPerGene.out.tab" "pro_F_mid_early_1ReadsPerGene.out.tab" "pro_F_mid_early_2ReadsPerGene.out.tab" "pro_F_mid_early_3ReadsPerGene.out.tab" "pro_F_mid_early_4ReadsPerGene.out.tab" "pro_F_mid_early_5ReadsPerGene.out.tab" "pro_F_mid_late_1ReadsPerGene.out.tab" "pro_F_mid_late_2ReadsPerGene.out.tab" "pro_F_mid_late_3ReadsPerGene.out.tab" "pro_F_mid_late_4ReadsPerGene.out.tab" "pro_F_mid_late_5ReadsPerGene.out.tab" "pro_M_for_early_1ReadsPerGene.out.tab" "pro_M_for_early_2ReadsPerGene.out.tab" "pro_M_for_early_3ReadsPerGene.out.tab" "pro_M_for_early_4ReadsPerGene.out.tab" "pro_M_for_late_1ReadsPerGene.out.tab" "pro_M_for_late_2ReadsPerGene.out.tab" "pro_M_for_late_3ReadsPerGene.out.tab" "pro_M_for_late_4ReadsPerGene.out.tab" "pro_M_for_late_5ReadsPerGene.out.tab" "pro_M_mid_early_1ReadsPerGene.out.tab" "pro_M_mid_early_2ReadsPerGene.out.tab" "pro_M_mid_early_3ReadsPerGene.out.tab" "pro_M_mid_late_1ReadsPerGene.out.tab" "pro_M_mid_late_3ReadsPerGene.out.tab" "pro_M_mid_late_4ReadsPerGene.out.tab" "pro_M_mid_late_5ReadsPerGene.out.tab"
"128up" 5393 5005 5601 5204 7384 4824 6667 5231 5547 6506 5581 6196 4965 7642 8303 5683 6014 5594 6895 5627 6148 7692 5747 6961 6366 6481 5123 5263 6184 6599 5697 6263 5307 5964 5443 6336
"14-3-3epsilon" 108969 98458 97035 89552 131805 74414 114963 76465 89528 104872 104540 111048 89863 126124 125186 81070 104060 94833 109283 87635 109700 134043 102204 114904 107174 108918 88659 100251 107977 128742 105080 118354 83643 101787 100315 107581
"140up" 392 374 352 399 425 247 378 231 316 371 393 463 264 479 553 309 294 349 320 318 439 427 346 420 358 388 277 237 288 399 366 457 306 361 322 315
"18SrRNA:CR41548" 0 1 1 0 0 1 0 1 0 1 2 2 0 0 0 0 0 4 0 1 7 0 1 0 0 0 0 0 2 0 0 1 2 3 0 1
"18SrRNA:CR45838" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"18SrRNA:CR45841" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18w" 11059 10459 14881 10308 18732 10921 15623 10401 10648 12606 8601 10318 14145 14679 11150 11580 14689 15271 13389 12193 12286 14314 12839 12268 15430 14271 14035 11751 13566 14642 12956 14801 13977 18223 11993 11221
"26-29-p" 17804 14283 16939 12928 17441 10875 17697 12034 14711 16258 17714 16268 14031 17410 16335 14648 15674 14232 17471 13826 17387 18319 14660 13749 14504 17071 12210 12236 13864 18845 14048 18877 12438 15552 12994 14050
"28SrRNA:CR45837" 4 1 2 2 1 2 1 4 3 1 4 5 2 4 11 4 3 3 2 1 8 2 3 6 1 4 2 1 3 3 0 1 1 10 2 4
"28SrRNA:CR45844" 16 9 18 15 12 7 10 7 24 7 15 20 12 17 48 7 22 11 15 7 18 45 8 9 7 23 8 4 11 10 14 13 8 35 10 14
"2mit" 25 42 14 81 28 2 11 9 19 62 37 69 50 41 24 22 10 213 347 64 67 14 12 20 24 27 7 10 5 16 18 47 44 12 19 14
"312" 526 505 384 425 670 294 450 323 487 541 542 620 343 581 737 339 380 328 461 388 610 769 472 624 476 490 435 405 475 609 574 583 434 470 494 475
"4E-T" 816 807 983 703 1218 770 1142 767 901 1062 525 791 907 834 869 928 1005 1049 1133 955 829 1219 981 887 1232 972 972 1059 1107 1060 909 1064 1045 1170 971 959
"5-HT1A" 8 1 7 18 10 0 0 1 1 3 2 5 6 1 1 0 1 16 28 0 12 0 5 1 2 4 5 2 1 1 3 10 6 2 9 0
"5-HT1B" 1 0 0 7 0 0 0 0 0 2 0 1 2 0 1 3 0 10 11 1 4 0 0 0 1 4 0 0 0 0 1 5 0 0 0 0
"5-HT2A" 1 0 0 3 1 0 3 0 0 3 1 6 2 1 0 0 0 6 20 1 12 1 0 1 2 3 0 0 0 0 0 10 0 0 0 0
"5-HT2B" 7 3 0 10 2 0 1 1 1 4 13 6 5 0 4 8 0 18 19 4 8 2 0 0 7 4 0 0 0 5 0 8 6 5 0 0
"5-HT7" 14 7 7 25 9 9 2 3 3 21 8 9 14 8 7 3 5 35 28 25 30 3 13 0 2 6 2 2 5 20 2 27 10 11 1 0
"5.8SrRNA:CR40454" 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 3 0 2
"5.8SrRNA:CR45839" 2 5 1 0 6 6 4 2 3 1 2 2 3 2 8 0 2 7 1 0 2 2 1 2 1 2 3 5 0 0 0 3 0 3 2 5
"5.8SrRNA:CR45842" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5.8SrRNA:CR45852" 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"5PtaseI" 1388 1278 1444 1201 1534 1048 2165 1226 1485 1727 1311 1368 1482 1432 1181 1354 1942 1646 1766 1557 1418 1492 1350 1276 1661 1568 1360 1107 1168 1579 1200 1754 1321 1628 1096 1149
"5SrRNA:CR33366" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33372" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33375" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33378" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"5SrRNA:CR33382" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33388" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33389" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33392" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33393" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33394" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33395" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33396" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33397" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33398" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33399" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33400" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33401" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33402" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33403" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5SrRNA:CR33404" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
